title,category,subcategory,price,image_url,sizes_text,is_active
Штаны парашюты белого цвета Gorpcore,Брюки/Джинсы,,4000,https://sun9-26.vkuserphoto.ru/s/v1/ig2/s3kDVruz8DbyVqyPb1JkBVUVFJhaNneH4DR6N-JC4Gh-fsgRSIqkAPu1hr0Pm2UGONBCsR2wulppXE2iPuAeswY5.jpg,"ONE SIZE",1
Сумка basic,Сумки/Рюкзаки,,2000,https://sun9-28.userapi.com/s/v1/ig2/SUJPEeR_UTUYLxjRdMNPOH059WH32oE2culFf19pmuf8bk34FNyu817bAtn_hCHp2utpaV6OvMOfwsN21FyV47M9.jpg?quality=95&as=32x43,ONE SIZE,1
Opium Zip Cargo Pants,Брюки/Джинсы,,5000,https://sun9-78.vkuserphoto.ru/s/v1/ig2/uwJBD398TVmx962vfbSTkmg5PijsbUub_iZRS1GCdJiTEv2jdLxqSg8ycA9P-MTv3iZ1vSrCS2RbBAclt3d6IsSC.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Parachute Pants,Брюки/Джинсы,,4750,https://sun9-47.vkuserphoto.ru/s/v1/ig2/Jxyvy32sHmMeTle8PlGBmQ0ywCwEQItNuNekeABZGGYr_qyrSE1s9PznICEqdYbMAd34U4XdCUsN7NXrT38Qb5Gj.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Baggy Cargo Parachute Pants,Брюки/Джинсы,,4750,https://sun9-15.vkuserphoto.ru/s/v1/ig2/aZ_nQixdtbc6H1SF309six1nXjKfxb3R3lBpatPoypkPwRVK_R5d7zcRl2OY-z6AxSq02xlDq1qGpMznZfY5kx0I.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Baggy cargo pants,Брюки/Джинсы,,4000,https://sun9-77.vkuserphoto.ru/s/v1/ig2/29s9dowdEYp9ANiCSJ-Ap9bqbUn-BZSaLj2cuBG9b_mQWFdQyUu12FM_BPESb4lceR4Td7Xhu3zKVd4-r8MOO2_E.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Baggy parachute pants,Брюки/Джинсы,,4000,https://sun9-79.vkuserphoto.ru/s/v1/ig2/XkaCBAKoV7FMFfQAd6jnIetcRj6q24EsFPecWR1oyQq4HOVizNI2zLyxc4kAXLbl8ETta8NpYipB2O5srHvFt_LG.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Multipocket cargo pants,Брюки/Джинсы,,4000,https://sun9-78.userapi.com/s/v1/ig2/-knWv9GaGPU2zGJZk8pDJW9J6pzpgEcCZROrBsSp73f65xcAYXyCNCootSrOPzw2-5sxmXwgdrGkF6EEKV0S8wTU.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Tripp Nyc Type Pants,Брюки/Джинсы,,4550,https://sun9-77.vkuserphoto.ru/s/v1/ig2/CMnBchMfKSB1wOwgF7bsaFRQl7tA22AMuCeP43mLiTRnblk82zKlzLDCwRUlhq-LxRThkf7fQ4Mf-V6kiORSDmLV.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Opium cargo pants,Брюки/Джинсы,,3750,https://sun9-83.vkuserphoto.ru/s/v1/ig2/hDDttwJO0pYY74fHkggY8Y5SMw5is9bMPKIOggOA9CPiO4hdux9w9k2GsOO0L62pChwSHyilae4BxOtYH-cpuRiF.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
